name,review_count,rating,phone,display_address,image_url,url,categories,display_phone,price,longitude,latitude,neighborhood,region,city,country,state,zip_code,address1,address2,address3,alias,id,is_closed,update_date,tag
Anchor Heights,156,4.0,+16468959686,"575 W 207th St, New York, NY 10034",https://s3-media2.fl.yelpcdn.com/bphoto/LGOTNyRvmHg0JTXPD55Pqw/o.jpg,https://www.yelp.com/biz/anchor-heights-new-york?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,wine_bars-Wine Bars;italian-Italian;,(646) 895-9686,$$,-73.92037,40.86666,Marble Hill,Manhattan,New York,US,NY,10034,575 W 207th St,,,anchor-heights-new-york,1kdIzJU01DuTm7WhPSdiBQ,False,"06/09/2021, 00:44","bars,beergardens"
Blackstone Bar & Grill,98,4.0,+13473466004,"3713 Riverdale Ave, Bronx, NY 10463",https://s3-media4.fl.yelpcdn.com/bphoto/iuNCTSPJk2od-pjvpy88JQ/o.jpg,https://www.yelp.com/biz/blackstone-bar-and-grill-bronx?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,sportsbars-Sports Bars;burgers-Burgers;sandwiches-Sandwiches;,(347) 346-6004,$$,-73.9071422050018,40.887361171014,Marble Hill,Manhattan,Bronx,US,NY,10463,3713 Riverdale Ave,,,blackstone-bar-and-grill-bronx,KN4HGdN2PamPSYwk339Zmg,False,"06/09/2021, 00:44","bars,beergardens"
Mon Amour Coffee & Wine,235,4.5,+17187087804,"234 W 238th St, Bronx, NY 10463",https://s3-media3.fl.yelpcdn.com/bphoto/SlBMTT_Yuo8IKt_gRu4cPQ/o.jpg,https://www.yelp.com/biz/mon-amour-coffee-and-wine-bronx?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,coffee-Coffee & Tea;wine_bars-Wine Bars;beerbar-Beer Bar;,(718) 708-7804,$,-73.9001434,40.8847906,Marble Hill,Manhattan,Bronx,US,NY,10463,234 W 238th St,,,mon-amour-coffee-and-wine-bronx,wZMBvQohVF5qelFRGAo5xw,False,"06/09/2021, 00:44","bars,beergardens"
An Beal Bocht Cafe,132,4.0,+17188847127,"445 W 238th St, Bronx, NY 10463",https://s3-media1.fl.yelpcdn.com/bphoto/ANA6ftlFERqukhXWI9szXQ/o.jpg,https://www.yelp.com/biz/an-beal-bocht-cafe-bronx?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,irish-Irish;pubs-Pubs;,(718) 884-7127,$$,-73.90498,40.88738,Marble Hill,Manhattan,Bronx,US,NY,10463,445 W 238th St,,,an-beal-bocht-cafe-bronx,Oyo1aojLt5Q6FXBNjidVeQ,False,"06/09/2021, 00:44","bars,beergardens"
Bronx Alehouse,825,4.0,+17186010204,"216 W 238th St, Bronx, NY 10463",https://s3-media2.fl.yelpcdn.com/bphoto/6FQ3Ej0DroZKwmAYclZkeA/o.jpg,https://www.yelp.com/biz/bronx-alehouse-bronx-2?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,tradamerican-American (Traditional);pubs-Pubs;,(718) 601-0204,$$,-73.8994980779851,40.8847016520226,Marble Hill,Manhattan,Bronx,US,NY,10463,216 W 238th St,,,bronx-alehouse-bronx-2,ciHt5n5rmpby1YcC_6JVrg,False,"06/09/2021, 00:44","bars,beergardens"
Bocaditos Bistro,409,4.0,+16466494212,"4863 Broadway, New York, NY 10034",https://s3-media1.fl.yelpcdn.com/bphoto/-rzuHrKlNn88bi0q2ZZMNg/o.jpg,https://www.yelp.com/biz/bocaditos-bistro-new-york?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,breakfast_brunch-Breakfast & Brunch;tapasmallplates-Tapas/Small Plates;wine_bars-Wine Bars;,(646) 649-4212,$$,-73.9239908382297,40.8668498343787,Marble Hill,Manhattan,New York,US,NY,10034,4863 Broadway,,,bocaditos-bistro-new-york,Hoq8s-NePq6_3QxJhR7oNA,False,"06/09/2021, 00:44","bars,beergardens"
Unique Fusion Restaurant,71,5.0,+12124519556,"586 West 207 St, New York, NY 10034",https://s3-media2.fl.yelpcdn.com/bphoto/DasxOMZ07L0urMMNjg9YGg/o.jpg,https://www.yelp.com/biz/unique-fusion-restaurant-new-york-2?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,asianfusion-Asian Fusion;thai-Thai;,(212) 451-9556,$$,-73.9210193562469,40.8670407799303,Inwood,Manhattan,New York,US,NY,10034,586 West 207 St,,,unique-fusion-restaurant-new-york-2,CY1lJBQatCNo4-_ljlS1rA,False,"06/09/2021, 00:44","restaurants,dancerestaurants"
Guadalupe Restaurant,679,4.0,+12123041083,"597 W 207th St, New York, NY 10034",https://s3-media3.fl.yelpcdn.com/bphoto/gJAWEJ_wiiCIJ3SsNW8jCA/o.jpg,https://www.yelp.com/biz/guadalupe-restaurant-new-york-3?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,mexican-Mexican;steak-Steakhouses;seafood-Seafood;,(212) 304-1083,$$,-73.92083,40.86739,Inwood,Manhattan,New York,US,NY,10034,597 W 207th St,,,guadalupe-restaurant-new-york-3,2IrwjU67gguqLqQqZ1nFPg,False,"06/09/2021, 00:44","restaurants,dancerestaurants"
Capitol Restaurant,67,4.0,+12129425090,"4933 Broadway, New York, NY 10034",https://s3-media4.fl.yelpcdn.com/bphoto/2pY18dHLOi4afBYhWggEFA/o.jpg,https://www.yelp.com/biz/capitol-restaurant-new-york-2?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,diners-Diners;,(212) 942-5090,$$,-73.921506,40.867761,Inwood,Manhattan,New York,US,NY,10034,4933 Broadway,,,capitol-restaurant-new-york-2,Y9jmd1D2QqJTkMMuFrcXNA,False,"06/09/2021, 00:44","restaurants,dancerestaurants"
Taqueria Emilio,78,4.5,+16468761143,"563 W 207th St, New York, NY 10034",https://s3-media1.fl.yelpcdn.com/bphoto/tDhB_uz4z2rGHRulvtVhAA/o.jpg,https://www.yelp.com/biz/taqueria-emilio-new-york?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,mexican-Mexican;,(646) 876-1143,$,-73.9201356056336,40.8662220265057,Inwood,Manhattan,New York,US,NY,10034,563 W 207th St,,,taqueria-emilio-new-york,D37laxSajXqhhsaCYo4WSw,False,"06/09/2021, 00:44","restaurants,dancerestaurants"
G's Coffee Shop,70,4.5,+12129420679,"634 W 207th St, New York, NY 10034",https://s3-media1.fl.yelpcdn.com/bphoto/uCuXQxJoDNH_-qNnq4XUdA/o.jpg,https://www.yelp.com/biz/gs-coffee-shop-new-york?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,mexican-Mexican;coffee-Coffee & Tea;newamerican-American (New);,(212) 942-0679,$,-73.9216979,40.8681434,Inwood,Manhattan,New York,US,NY,10034,634 W 207th St,,,gs-coffee-shop-new-york,ZqDpOO44Lg-jKOrosrxrGg,False,"06/09/2021, 00:44","restaurants,dancerestaurants"
Lotus Express,73,4.0,+12125698899,"4840 Broadway, New York, NY 10034",https://s3-media2.fl.yelpcdn.com/bphoto/RuSp1V0368F4CdammBsJKQ/o.jpg,https://www.yelp.com/biz/lotus-express-new-york?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,chinese-Chinese;,(212) 569-8899,$,-73.92474,40.86626,Inwood,Manhattan,New York,US,NY,10034,4840 Broadway,,,lotus-express-new-york,Qsc2DrX3IR-uGfwnUlOzcA,False,"06/09/2021, 00:44","restaurants,dancerestaurants"
Elsa La Reina Del Chicharron,102,4.0,+12123041070,"4840 Broadway, New York, NY 10034",https://s3-media2.fl.yelpcdn.com/bphoto/2QpbycGoDE4wwM8yL4D5fA/o.jpg,https://www.yelp.com/biz/elsa-la-reina-del-chicharron-new-york?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,latin-Latin American;soup-Soup;juicebars-Juice Bars & Smoothies;,(212) 304-1070,$,-73.92474,40.8662599,Inwood,Manhattan,New York,US,NY,10034,4840 Broadway,,,elsa-la-reina-del-chicharron-new-york,NzFEzBtaPuB_u28Qs7GxHQ,False,"06/09/2021, 00:44","restaurants,dancerestaurants"
El Tina Fish Market,60,4.0,+12125698838,"500 W 207th St, New York, NY 10034",https://s3-media4.fl.yelpcdn.com/bphoto/k4GyhyY-b5ZZ7fJjqm4CDA/o.jpg,https://www.yelp.com/biz/el-tina-fish-market-new-york?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,seafood-Seafood;seafoodmarkets-Seafood Markets;,(212) 569-8838,$$,-73.9193338,40.8644535,Inwood,Manhattan,New York,US,NY,10034,500 W 207th St,,,el-tina-fish-market-new-york,U1I4gHO_bVhRv1D--JhklQ,False,"06/09/2021, 00:44","restaurants,dancerestaurants"
Beans and Vines,425,4.0,+16469280209,"4799 Broadway, Inwood, NY 10034",https://s3-media4.fl.yelpcdn.com/bphoto/8AdkldO-LZse62R2O8HTnw/o.jpg,https://www.yelp.com/biz/beans-and-vines-inwood?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,bars-Bars;newamerican-American (New);steak-Steakhouses;,(646) 928-0209,$$,-73.92549,40.86651,Inwood,Manhattan,Inwood,US,NY,10034,4799 Broadway,,,beans-and-vines-inwood,HVeQNs_7zh3m-xCZ1ugslA,False,"06/09/2021, 00:44","restaurants,dancerestaurants"
Broadyke Meat Market,87,4.5,+12125693470,"4767 Broadway, New York, NY 10034",https://s3-media1.fl.yelpcdn.com/bphoto/OVBqi-3SMOJ8e2qspVqkiQ/o.jpg,https://www.yelp.com/biz/broadyke-meat-market-new-york?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,meats-Meat Shops;delis-Delis;sandwiches-Sandwiches;,(212) 569-3470,$$,-73.92703,40.86578,Inwood,Manhattan,New York,US,NY,10034,4767 Broadway,,,broadyke-meat-market-new-york,FAUMdhzoesC3PEp0b1ujBg,False,"06/09/2021, 00:44","restaurants,dancerestaurants"
Cachapas y mas,360,4.0,+12123042224,"107 Dyckman St, New York, NY 10040",https://s3-media1.fl.yelpcdn.com/bphoto/UdWx1FIohr0Se9yLV2Yv2w/o.jpg,https://www.yelp.com/biz/cachapas-y-mas-new-york?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,venezuelan-Venezuelan;sandwiches-Sandwiches;empanadas-Empanadas;,(212) 304-2224,$,-73.92475,40.862244,Inwood,Manhattan,New York,US,NY,10040,107 Dyckman St,,,cachapas-y-mas-new-york,krx3qFc0QFRqLL3fyscJSQ,False,"06/09/2021, 00:44","restaurants,dancerestaurants"
Tryon Public House,396,4.0,+16469187129,"4740 Broadway, New York, NY 10040",https://s3-media4.fl.yelpcdn.com/bphoto/fTrQldH6ywmsNWIoj2rVYg/o.jpg,https://www.yelp.com/biz/tryon-public-house-new-york?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,tradamerican-American (Traditional);gastropubs-Gastropubs;bars-Bars;,(646) 918-7129,$$,-73.927843119049,40.8649821372469,Inwood,Manhattan,New York,US,NY,10040,4740 Broadway,,,tryon-public-house-new-york,ykXZyQBXxoOMoZfaZMnHmg,False,"06/09/2021, 00:44","restaurants,dancerestaurants"
Antonio's Trattoria,846,4.5,+17187336630,"2370 Belmont Ave, Bronx, NY 10458",https://s3-media3.fl.yelpcdn.com/bphoto/2JkIBHCbbUTlqdul0mwa1A/o.jpg,https://www.yelp.com/biz/antonios-trattoria-bronx?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,italian-Italian;pizza-Pizza;desserts-Desserts;,(718) 733-6630,$$,-73.886601,40.854131,Inwood,Manhattan,Bronx,US,NY,10458,2370 Belmont Ave,,,antonios-trattoria-bronx,b6jOwyX4iaagw8YjXqq1sA,False,"06/09/2021, 00:44","restaurants,dancerestaurants"
Pizza Palace,125,4.5,+12125679588,"121 Dyckman St, New York, NY 10034",https://s3-media3.fl.yelpcdn.com/bphoto/Fcqlfjg2SwFZAPb2yC-b_g/o.jpg,https://www.yelp.com/biz/pizza-palace-new-york?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,pizza-Pizza;,(212) 567-9588,$,-73.9256393909454,40.8629818681867,Inwood,Manhattan,New York,US,NY,10034,121 Dyckman St,,,pizza-palace-new-york,GSTNeRXsT8CWImXzrBnP-g,False,"06/09/2021, 00:44","restaurants,dancerestaurants"
Green Juice Cafe,205,5.0,+16469187730,"4316 Broadway, New York, NY 10033",https://s3-media4.fl.yelpcdn.com/bphoto/dHF2qESxWSTOvF5KhVw_NQ/o.jpg,https://www.yelp.com/biz/green-juice-cafe-new-york?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,sandwiches-Sandwiches;coffee-Coffee & Tea;juicebars-Juice Bars & Smoothies;,(646) 918-7730,$,-73.9346599,40.85188,Inwood,Manhattan,New York,US,NY,10033,4316 Broadway,,,green-juice-cafe-new-york,Dwg-RgHUXsBfAi7G0V8LIg,False,"06/09/2021, 00:44","restaurants,dancerestaurants"
Locksmith Bar,401,4.0,+12123049463,"4463 Broadway, New York, NY 10040",https://s3-media2.fl.yelpcdn.com/bphoto/BzUG-2a_fGkRILM7PbFNDQ/o.jpg,https://www.yelp.com/biz/locksmith-bar-new-york?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,newamerican-American (New);peruvian-Peruvian;beerbar-Beer Bar;,(212) 304-9463,$$,-73.9325659,40.8573807,Inwood,Manhattan,New York,US,NY,10040,4463 Broadway,,,locksmith-bar-new-york,zZpuUqF0iENnyYd2UYIX6w,False,"06/09/2021, 00:44","restaurants,dancerestaurants"
Pop and Pour Cafe,131,4.5,+16469983766,"200 Dyckman St, New York, NY 10040",https://s3-media4.fl.yelpcdn.com/bphoto/238YBQpbeEpf-VIYCuvd3Q/o.jpg,https://www.yelp.com/biz/pop-and-pour-cafe-new-york-2?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,wine_bars-Wine Bars;cafes-Cafes;cocktailbars-Cocktail Bars;,(646) 998-3766,$$,-73.927185,40.864776,Inwood,Manhattan,New York,US,NY,10040,200 Dyckman St,,,pop-and-pour-cafe-new-york-2,k2xtXGmyMU1q49UTlws8tg,False,"06/09/2021, 00:44","restaurants,dancerestaurants"
Patacon Pisao Truck,86,4.5,+19179719828,"431 W 202nd St, New York, NY 10034",https://s3-media3.fl.yelpcdn.com/bphoto/q4BC7wdYrD6E1uQY1xde2A/o.jpg,https://www.yelp.com/biz/patacon-pisao-truck-new-york-3?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,foodtrucks-Food Trucks;venezuelan-Venezuelan;,(917) 971-9828,$,-73.920191,40.861288,Inwood,Manhattan,New York,US,NY,10034,431 W 202nd St,,,patacon-pisao-truck-new-york-3,dC-EC1dZnr40MKnHPx-PIg,False,"06/09/2021, 00:44","restaurants,dancerestaurants"
Burger Heights,424,4.0,+12129511984,"177 Wadsworth Ave, New York, NY 10033",https://s3-media1.fl.yelpcdn.com/bphoto/axviiJYXAFkpC4vqSth4ig/o.jpg,https://www.yelp.com/biz/burger-heights-new-york-2?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,burgers-Burgers;hotdogs-Fast Food;hotdog-Hot Dogs;,(212) 951-1984,$,-73.93451,40.85022,Inwood,Manhattan,New York,US,NY,10033,177 Wadsworth Ave,,,burger-heights-new-york-2,80dIz6llWEew4No641ZQKQ,False,"06/09/2021, 00:44","restaurants,dancerestaurants"
Saggio,625,4.0,+12127953080,"829 W 181st St, New York, NY 10033",https://s3-media2.fl.yelpcdn.com/bphoto/GBgPgtjnQUK0b7-HFk9eQA/o.jpg,https://www.yelp.com/biz/saggio-new-york-2?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,italian-Italian;,(212) 795-3080,$$,-73.9395604556239,40.8514099281625,Inwood,Manhattan,New York,US,NY,10033,829 W 181st St,,,saggio-new-york-2,cyLw0vW5MrsF35-A6Dy03w,False,"06/09/2021, 00:44","restaurants,dancerestaurants"
Soup Dumpling Plus,991,4.5,+12019440901,"1550 Lemoine Ave, Ste 109, Fort Lee, NJ 07024",https://s3-media1.fl.yelpcdn.com/bphoto/uNEmIPxfIYDH0h5F3MfvGQ/o.jpg,https://www.yelp.com/biz/soup-dumpling-plus-fort-lee?adjust_creative=SVOY-FaCa46_d4jRxG76Iw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SVOY-FaCa46_d4jRxG76Iw,shanghainese-Shanghainese;,(201) 944-0901,$$,-73.9706099,40.84757,Inwood,Manhattan,Fort Lee,US,NJ,07024,1550 Lemoine Ave,Ste 109,,soup-dumpling-plus-fort-lee,vQe7_ZW_jBSWKtgSiXGIOA,False,"06/09/2021, 00:44","restaurants,dancerestaurants"
