name,formatted_address,weekday_text,website,latitude,longitude,types,place_id,types,formatted_phone_number,url,vicinity
ARTECHOUSE NYC,"439 W 15th St, New York, NY 10011, USA",Monday: 10:00 AM – 10:00 PM;Tuesday: 10:00 AM – 10:00 PM;Wednesday: 10:00 AM – 10:00 PM;Thursday: 10:00 AM – 10:00 PM;Friday: 10:00 AM – 10:00 PM;Saturday: 10:00 AM – 10:00 PM;Sunday: 10:00 AM – 10:00 PM,http://artechouse.com/location/nyc,40.7426002,-74.0065704,"art_gallery,tourist_attraction,museum,point_of_interest,establishment",ChIJQ6yZIaFZwokRl0jsn5VBk_M,"art_gallery,tourist_attraction,museum,point_of_interest,establishment",N/A,https://maps.google.com/?cid=17551444283681949847,"439 West 15th Street, New York"
Staten Island Ferry,"Staten Island Ferry, Staten Island, NY, USA",N/A,N/A,40.6468667,-74.0683612,route,EitTdGF0ZW4gSXNsYW5kIEZlcnJ5LCBTdGF0ZW4gSXNsYW5kLCBOWSwgVVNBIi4qLAoUChIJZYrl0W9QwokRITkoJiQqoAESFAoSCefU9HnvRcKJEXi8ujSFHydQ,route,N/A,"https://maps.google.com/?q=Staten+Island+Ferry,+Staten+Island,+NY,+USA&ftid=0x89c2506fd1e58a65:0x1a02a2426283921",Staten Island
Bronx Zoo,"2300 Southern Blvd, Bronx, NY 10460, USA",Monday: 10:00 AM – 5:00 PM;Tuesday: 10:00 AM – 5:00 PM;Wednesday: 10:00 AM – 5:00 PM;Thursday: 10:00 AM – 5:00 PM;Friday: 10:00 AM – 5:00 PM;Saturday: 10:00 AM – 5:30 PM;Sunday: 10:00 AM – 5:30 PM,https://bronxzoo.com/,40.8505949,-73.8769982,"zoo,tourist_attraction,point_of_interest,establishment",ChIJi9JqUYP0wokRLhCVlxy0bgU,"zoo,tourist_attraction,point_of_interest,establishment",(718) 367-1010,https://maps.google.com/?cid=391448252523024430,"2300 Southern Boulevard, Bronx"
New York Botanical Garden,"2900 Southern Blvd, Bronx, NY 10458, USA",Monday: Closed;Tuesday: 10:00 AM – 6:00 PM;Wednesday: 10:00 AM – 6:00 PM;Thursday: 10:00 AM – 6:00 PM;Friday: 10:00 AM – 6:00 PM;Saturday: 10:00 AM – 6:00 PM;Sunday: 10:00 AM – 6:00 PM,https://www.nybg.org/,40.86170539999999,-73.8806902,"tourist_attraction,museum,park,point_of_interest,establishment",ChIJyRUHuHzzwokRPxVBNKhcP9c,"tourist_attraction,museum,park,point_of_interest,establishment",(718) 817-8700,https://maps.google.com/?cid=15510217519188219199,"2900 Southern Boulevard, Bronx"
The Ravine,"E 103rd St, New York, NY 10025, USA",Monday: 6:00 AM – 1:00 AM;Tuesday: 6:00 AM – 1:00 AM;Wednesday: 6:00 AM – 1:00 AM;Thursday: 6:00 AM – 1:00 AM;Friday: 6:00 AM – 1:00 AM;Saturday: 6:00 AM – 1:00 AM;Sunday: 6:00 AM – 12:00 AM,http://www.centralparknyc.org/things-to-see-and-do/attractions/ravine.html?referrer=https://www.google.co.in/,40.79504939999999,-73.9556674,"tourist_attraction,park,point_of_interest,establishment",ChIJSRZePyT2wokRiRkKCt3wSi8,"tourist_attraction,park,point_of_interest,establishment",(212) 310-6600,https://maps.google.com/?cid=3407800900206074249,"East 103rd Street, New York"
Roy's Sheepshead Cycle,"2679 Coney Island Ave, Brooklyn, NY 11235, USA",Monday: 10:00 AM – 6:00 PM;Tuesday: 10:00 AM – 6:00 PM;Wednesday: 10:00 AM – 6:00 PM;Thursday: 10:00 AM – 8:00 PM;Friday: 10:00 AM – 6:00 PM;Saturday: 10:00 AM – 6:00 PM;Sunday: 11:00 AM – 6:00 PM,http://www.roysbikes.com/,40.59123470000001,-73.9603089,"bicycle_store,point_of_interest,store,establishment",ChIJ_faRzF9EwokRGsGtFGL_qUQ,"bicycle_store,point_of_interest,store,establishment",(718) 648-1440,https://maps.google.com/?cid=4947766462362009882,"2679 Coney Island Avenue, Brooklyn"
Prospect Park,"Brooklyn, NY, USA",Monday: 5:00 AM – 1:00 AM;Tuesday: 5:00 AM – 1:00 AM;Wednesday: 5:00 AM – 1:00 AM;Thursday: 5:00 AM – 1:00 AM;Friday: 5:00 AM – 1:00 AM;Saturday: 5:00 AM – 1:00 AM;Sunday: 5:00 AM – 1:00 AM,https://www.prospectpark.org/,40.6602037,-73.9689558,"park,tourist_attraction,point_of_interest,establishment",ChIJQwRohxBbwokRmHrfAMb3ixc,"park,tourist_attraction,point_of_interest,establishment",(718) 965-8951,https://maps.google.com/?cid=1696722114425354904,Brooklyn
Times Square,"Manhattan, NY 10036, USA",N/A,https://www.timessquarenyc.org/,40.7579747,-73.9855426,"tourist_attraction,point_of_interest,establishment",ChIJmQJIxlVYwokRLgeuocVOGVU,"tourist_attraction,point_of_interest,establishment",N/A,https://maps.google.com/?cid=6132018978369701678,Manhattan
The High Line,"New York, NY 10011, USA",Monday: 7:00 AM – 9:00 PM;Tuesday: 7:00 AM – 9:00 PM;Wednesday: 7:00 AM – 9:00 PM;Thursday: 7:00 AM – 9:00 PM;Friday: 7:00 AM – 9:00 PM;Saturday: 9:00 AM – 9:00 PM;Sunday: 9:00 AM – 9:00 PM,https://www.thehighline.org/,40.7479925,-74.0047649,"park,tourist_attraction,point_of_interest,establishment",ChIJ5bQPhMdZwokRkTwKhVxhP1g,"park,tourist_attraction,point_of_interest,establishment",(212) 500-6035,https://maps.google.com/?cid=6358908248867355793,New York
Inwood Hill Park,"Payson Ave. &, Seaman Ave, New York, NY 10034, USA",Monday: 6:00 AM – 1:00 AM;Tuesday: 6:00 AM – 1:00 AM;Wednesday: 6:00 AM – 1:00 AM;Thursday: 6:00 AM – 1:00 AM;Friday: 6:00 AM – 1:00 AM;Saturday: 6:00 AM – 1:00 AM;Sunday: 6:00 AM – 1:00 AM,https://www.nycgovparks.org/parks/inwood-hill-park,40.8722007,-73.9255549,"park,tourist_attraction,point_of_interest,establishment",ChIJpUOPMe7zwokRJUQfPbEU1CI,"park,tourist_attraction,point_of_interest,establishment",(212) 639-9675,https://maps.google.com/?cid=2509653643819435045,"Payson Ave. &, Seaman Avenue, New York"
Strand Book Store,"828 Broadway, New York, NY 10003, USA",Monday: 12:00 – 8:00 PM;Tuesday: 12:00 – 8:00 PM;Wednesday: 12:00 – 8:00 PM;Thursday: 12:00 – 8:00 PM;Friday: 12:00 – 8:00 PM;Saturday: 10:00 AM – 8:00 PM;Sunday: 10:00 AM – 8:00 PM,http://www.strandbooks.com/,40.7330678,-73.99052440000001,"book_store,electronics_store,home_goods_store,point_of_interest,store,establishment",ChIJnSKGEJlZwokRQIpiCvzKzV4,"book_store,electronics_store,home_goods_store,point_of_interest,store,establishment",(212) 473-1452,https://maps.google.com/?cid=6831339393645709888,"828 Broadway, New York"
The Morgan Library & Museum,"225 Madison Ave, New York, NY 10016, USA",Monday: Closed;Tuesday: Closed;Wednesday: 10:30 AM – 5:00 PM;Thursday: 10:30 AM – 5:00 PM;Friday: 10:30 AM – 5:00 PM;Saturday: 10:30 AM – 5:00 PM;Sunday: 10:30 AM – 5:00 PM,http://www.themorgan.org/,40.7492258,-73.9813971,"tourist_attraction,museum,point_of_interest,establishment",ChIJ3453OAdZwokRja92OOKCugM,"tourist_attraction,museum,point_of_interest,establishment",(212) 685-0008,https://maps.google.com/?cid=268671035903487885,"225 Madison Avenue, New York"
Washington Square Park,"Washington Square, New York, NY 10012, USA",Monday: 6:00 AM – 12:00 AM;Tuesday: 6:00 AM – 12:00 AM;Wednesday: 6:00 AM – 12:00 AM;Thursday: 6:00 AM – 12:00 AM;Friday: 6:00 AM – 12:00 AM;Saturday: 6:00 AM – 12:00 AM;Sunday: 6:00 AM – 12:00 AM,https://www.nycgovparks.org/parks/washington-square-park,40.7308838,-73.997332,"park,tourist_attraction,point_of_interest,establishment",ChIJjX494pBZwokRGH620d9eYfo,"park,tourist_attraction,point_of_interest,establishment",(212) 639-9675,https://maps.google.com/?cid=18041805897612033560,"Washington Square, New York"
New York Aquarium,"602 Surf Ave, Brooklyn, NY 11224, USA",Monday: 10:00 AM – 5:00 PM;Tuesday: 10:00 AM – 5:00 PM;Wednesday: 10:00 AM – 5:00 PM;Thursday: 10:00 AM – 5:00 PM;Friday: 10:00 AM – 5:00 PM;Saturday: 10:00 AM – 5:30 PM;Sunday: 10:00 AM – 5:30 PM,http://www.nyaquarium.com/,40.5740101,-73.9760005,"aquarium,tourist_attraction,point_of_interest,establishment",ChIJcRMeDzZEwokR3NsXUDpO9UU,"aquarium,tourist_attraction,point_of_interest,establishment",(718) 265-3474,https://maps.google.com/?cid=5041021370269948892,"602 Surf Avenue, Brooklyn"
Brooklyn Heights Promenade,"Montague St &, Pierrepont Pl, Brooklyn, NY 11201, USA",Monday: 6:00 AM – 1:00 AM;Tuesday: 6:00 AM – 1:00 AM;Wednesday: 6:00 AM – 1:00 AM;Thursday: 6:00 AM – 1:00 AM;Friday: 6:00 AM – 1:00 AM;Saturday: 6:00 AM – 1:00 AM;Sunday: 6:00 AM – 1:00 AM,http://www.nycgovparks.org/about/history/historical-signs/listings?id=136,40.69619360000001,-73.9975036,"park,tourist_attraction,point_of_interest,establishment",ChIJkwX1AjdawokRx9reOccHFr4,"park,tourist_attraction,point_of_interest,establishment",(212) 639-9675,https://maps.google.com/?cid=13697143868944734919,"Montague St &, Pierrepont Place, Brooklyn"
Brooklyn Flea,"80 Pearl St, Brooklyn, NY 11201, USA",Monday: Closed;Tuesday: Closed;Wednesday: Closed;Thursday: Closed;Friday: Closed;Saturday: Closed;Sunday: 10:00 AM – 5:00 PM,http://www.brooklynflea.com/,40.7025879,-73.9877352,"tourist_attraction,point_of_interest,establishment",ChIJL52zxzNawokRwpfBHpFpGm8,"tourist_attraction,point_of_interest,establishment",(718) 928-6603,https://maps.google.com/?cid=8005827359611656130,"80 Pearl Street, Brooklyn"
The Painted Pot,"229 Smith St, Brooklyn, NY 11231, USA",Monday: 10:00 AM – 9:00 PM;Tuesday: 10:00 AM – 9:00 PM;Wednesday: 10:00 AM – 9:00 PM;Thursday: 10:00 AM – 9:00 PM;Friday: 10:00 AM – 9:00 PM;Saturday: 10:00 AM – 9:00 PM;Sunday: 10:00 AM – 7:00 PM,http://www.paintedpot.com/,40.6838551,-73.99229660000002,"point_of_interest,establishment",ChIJAdbpfldawokRrS7-VNb3Uio,"point_of_interest,establishment",(718) 222-0334,https://maps.google.com/?cid=3049772397604253357,"229 Smith Street, Brooklyn"
The Painted Pot Park Slope,"200 7th Ave, Brooklyn, NY 11215, USA",Monday: 10:00 AM – 9:00 PM;Tuesday: 10:00 AM – 9:00 PM;Wednesday: 10:00 AM – 9:00 PM;Thursday: 10:00 AM – 9:00 PM;Friday: 10:00 AM – 9:00 PM;Saturday: 10:00 AM – 9:00 PM;Sunday: 10:00 AM – 7:00 PM,http://www.paintedpot.com/,40.67097020000001,-73.9783934,"point_of_interest,store,establishment",ChIJV9Fb2qlbwokRB1Ih13Wd1ZE,"point_of_interest,store,establishment",(718) 768-8379,https://maps.google.com/?cid=10508478434984940039,"200 7th Avenue, Brooklyn"
Little Shop of Crafts,"711 Amsterdam Ave, New York, NY 10025, USA",Monday: 11:00 AM – 7:00 PM;Tuesday: 11:00 AM – 7:00 PM;Wednesday: 11:00 AM – 7:00 PM;Thursday: 11:00 AM – 7:00 PM;Friday: 11:00 AM – 7:00 PM;Saturday: 11:00 AM – 7:00 PM;Sunday: 11:00 AM – 7:00 PM,http://www.littleshopny.com/,40.7929701,-73.9708775,"home_goods_store,point_of_interest,store,establishment",ChIJMyhr_yf2wokRGf4laFLTHxI,"home_goods_store,point_of_interest,store,establishment",(212) 531-2723,https://maps.google.com/?cid=1305994767848832537,"711 Amsterdam Avenue, New York"
Color Me Mine,"177 Amsterdam Ave, New York, NY 10023, USA",Monday: 11:00 AM – 6:00 PM;Tuesday: 11:00 AM – 6:00 PM;Wednesday: 11:00 AM – 6:00 PM;Thursday: 11:00 AM – 6:00 PM;Friday: 10:00 AM – 7:00 PM;Saturday: 10:00 AM – 7:00 PM;Sunday: 10:00 AM – 7:00 PM,https://upperwestside.colormemine.com/,40.776066,-73.98326,"point_of_interest,store,establishment",ChIJ33unBUtZwokRrkvI4TGV_Vg,"point_of_interest,store,establishment",(212) 877-0007,https://maps.google.com/?cid=6412445485919390638,"177 Amsterdam Avenue, New York"
Monk Vintage,"496 Driggs Ave, Brooklyn, NY 11211, USA",Monday: 11:30 AM – 7:00 PM;Tuesday: 11:30 AM – 7:00 PM;Wednesday: 11:30 AM – 7:00 PM;Thursday: 11:30 AM – 7:00 PM;Friday: 11:30 AM – 7:00 PM;Saturday: 11:30 AM – 7:00 PM;Sunday: 12:00 – 7:00 PM,https://www.instagram.com/monkvintage/,40.71852870000001,-73.9552361,"point_of_interest,store,establishment",ChIJI5ceaFxZwokRKGA3jcG8rnA,"point_of_interest,store,establishment",(718) 384-6665,https://maps.google.com/?cid=8119634717679509544,"496 Driggs Avenue, Brooklyn"
Randalls and Wards Islands,"Randalls and Wards Islands, New York, NY, USA",N/A,N/A,40.7932271,-73.92128579999999,"natural_feature,establishment",ChIJezgOxu_1wokRnjxVhqk6Bo8,"natural_feature,establishment",N/A,https://maps.google.com/?q=Randalls+and+Wards+Islands&ftid=0x89c2f5efc60e387b:0x8f063aa986553c9e,Manhattan
Roosevelt Island Tramway - Roosevelt Island,"W Main St, New York, NY 10044, USA",Monday: Open 24 hours;Tuesday: Open 24 hours;Wednesday: Open 24 hours;Thursday: Open 24 hours;Friday: Open 24 hours;Saturday: Open 24 hours;Sunday: Open 24 hours,https://rioc.ny.gov/302/Tram,40.7572895,-73.9541162,"point_of_interest,establishment",ChIJVwZ6u59ZwokRsSeIMKoUeZg,"point_of_interest,establishment",N/A,https://maps.google.com/?cid=10986835487138260913,"West Main Street, New York"
Film at Lincoln Center - Elinor Bunin Munroe Film Center,"144 W 65th St, New York, NY 10023, USA",Monday: 12:00 – 11:00 PM;Tuesday: 12:00 – 11:00 PM;Wednesday: 12:00 – 11:00 PM;Thursday: 12:00 – 11:00 PM;Friday: 12:00 – 11:00 PM;Saturday: 12:00 – 11:00 PM;Sunday: 12:00 – 11:00 PM,https://www.filmlinc.org/now-playing/,40.7733766,-73.9835963,"movie_theater,point_of_interest,establishment",ChIJrUrzjV9YwokRtyuwstHMyOE,"movie_theater,point_of_interest,establishment",(212) 875-5232,https://maps.google.com/?cid=16269478854894037943,"144 West 65th Street, New York"
Sheep Meadow,"1802 65th Street Transverse, New York, NY 10065, USA",Monday: 11:00 AM – 7:00 PM;Tuesday: 11:00 AM – 7:00 PM;Wednesday: 11:00 AM – 7:00 PM;Thursday: 11:00 AM – 7:00 PM;Friday: 11:00 AM – 7:00 PM;Saturday: 11:00 AM – 7:00 PM;Sunday: 11:00 AM – 7:00 PM,https://www.centralparknyc.org/locations/sheep-meadow,40.7717813,-73.9748418,"park,tourist_attraction,point_of_interest,establishment",ChIJezBcrvNYwokRCGwwAfivN4g,"park,tourist_attraction,point_of_interest,establishment",(212) 310-6600,https://maps.google.com/?cid=9815507392583986184,"1802 65th Street Transverse, New York"
Brooklyn Brewery,"79 N 11th St, Brooklyn, NY 11249, USA",Monday: 4:00 – 9:00 PM;Tuesday: 4:00 – 9:00 PM;Wednesday: 4:00 – 9:00 PM;Thursday: 4:00 – 9:00 PM;Friday: 2:00 – 10:00 PM;Saturday: 12:00 – 11:00 PM;Sunday: 12:00 – 8:00 PM,http://www.brooklynbrewery.com/,40.7217625,-73.9577086,"bar,liquor_store,food,point_of_interest,store,establishment",ChIJUaAuMl1ZwokRt0-S_ynnRtc,"bar,liquor_store,food,point_of_interest,store,establishment",(718) 486-7422,https://maps.google.com/?cid=15512340134091706295,"79 North 11th Street, Brooklyn"
Federal Reserve Bank of New York,"33 Liberty St, New York, NY 10045, USA",Monday: 11:15 AM – 3:00 PM;Tuesday: 11:15 AM – 3:00 PM;Wednesday: 11:15 AM – 3:00 PM;Thursday: 11:15 AM – 3:00 PM;Friday: 11:15 AM – 3:00 PM;Saturday: 11:15 AM – 3:00 PM;Sunday: Closed,http://www.newyorkfed.org/,40.7083663,-74.008653,"tourist_attraction,point_of_interest,establishment",ChIJWwEGmRdawokRV0KluY5VUvg,"tourist_attraction,point_of_interest,establishment",(212) 720-5000,https://maps.google.com/?cid=17893458340984734295,"33 Liberty Street, New York"
Amateur Astronomers Association of New York,"Equitable Life Building, 120 Broadway, New York, NY 10271, USA",N/A,http://aaa.org/,40.7082913,-74.0104223,"point_of_interest,establishment",ChIJDX4wExdawokRNFFxWoZ1xzM,"point_of_interest,establishment",N/A,https://maps.google.com/?cid=3731080036203188532,"Equitable Life Building, 120 Broadway, New York"
The Bushwick Collective,"427 Troutman St, Brooklyn, NY 11237, USA",N/A,http://www.thebushwickcollective.com/,40.70751739999999,-73.9221845,"art_gallery,point_of_interest,establishment",ChIJ62LEHHFfwokRCh6dC8pH8Jc,"art_gallery,point_of_interest,establishment",N/A,https://maps.google.com/?cid=10948329627241487882,"427 Troutman Street, Brooklyn"
The Battery,"Battery Park City, New York, NY 10004, USA",Monday: 6:00 AM – 12:00 AM;Tuesday: 6:00 AM – 12:00 AM;Wednesday: 6:00 AM – 12:00 AM;Thursday: 6:00 AM – 12:00 AM;Friday: 6:00 AM – 12:00 AM;Saturday: 6:00 AM – 12:00 AM;Sunday: 6:00 AM – 12:00 AM,http://www.thebattery.org/,40.703141,-74.0159996,"park,tourist_attraction,point_of_interest,establishment",ChIJraKL-BJawokREpxDmF5GcL4,"park,tourist_attraction,point_of_interest,establishment",(212) 344-3491,https://maps.google.com/?cid=13722545436693339154,New York
Smalls Jazz Club,"183 W 10th St, New York, NY 10014, USA",Monday: 5:30 PM – 12:00 AM;Tuesday: 5:30 PM – 12:00 AM;Wednesday: 5:30 PM – 12:00 AM;Thursday: 5:30 PM – 12:00 AM;Friday: 5:30 PM – 12:00 AM;Saturday: 5:30 PM – 12:00 AM;Sunday: Closed,http://www.smallslive.com/,40.73438729999999,-74.002765,"night_club,bar,point_of_interest,establishment",ChIJu55raJRZwokReRL9b1tLmQo,"night_club,bar,point_of_interest,establishment",(646) 224-1166,https://maps.google.com/?cid=763724467908973177,"183 West 10th Street, New York"
Mezzrow,"163 W 10th St, New York, NY 10014, USA",Monday: Closed;Tuesday: 7:00 PM – 12:30 AM;Wednesday: 7:00 PM – 12:30 AM;Thursday: 7:00 PM – 12:30 AM;Friday: 7:00 PM – 12:30 AM;Saturday: 7:00 PM – 12:30 AM;Sunday: 7:00 PM – 12:30 AM,http://http.smallslive.com/,40.7346,-74.001924,"night_club,bar,point_of_interest,establishment",ChIJzYwpP5RZwokRk_zUBWseSBY,"night_club,bar,point_of_interest,establishment",(646) 224-1166,https://maps.google.com/?cid=1605566712165760147,"163 West 10th Street, New York"
Solomon R. Guggenheim Museum,"1071 5th Ave, New York, NY 10128, USA",Monday: 11:00 AM – 6:00 PM;Tuesday: Closed;Wednesday: Closed;Thursday: 11:00 AM – 6:00 PM;Friday: 11:00 AM – 6:00 PM;Saturday: 11:00 AM – 6:00 PM;Sunday: 11:00 AM – 6:00 PM,https://www.guggenheim.org/,40.7829796,-73.9589706,"tourist_attraction,museum,point_of_interest,establishment",ChIJmZ5emqJYwokRuDz79o0coAQ,"tourist_attraction,museum,point_of_interest,establishment",(212) 423-3500,https://maps.google.com/?cid=333297768485043384,"1071 5th Avenue, New York"
Gagopa Karaoke,"28 W 32nd St, New York, NY 10001, USA",N/A,N/A,40.7476757,-73.9870323,"night_club,bar,point_of_interest,establishment",ChIJQYq46KhZwokRPyXGganv1Vw,"night_club,bar,point_of_interest,establishment",(212) 967-5353,https://maps.google.com/?cid=6689516332834497855,"28 West 32nd Street, New York"
Karaoke City,"22 W 32nd St 7th Floor, New York, NY 10001, USA",Monday: 1:00 PM – 4:00 AM;Tuesday: 1:00 PM – 4:00 AM;Wednesday: 1:00 PM – 4:00 AM;Thursday: 1:00 PM – 4:00 AM;Friday: 1:00 PM – 5:00 AM;Saturday: 1:00 PM – 5:00 AM;Sunday: 1:00 PM – 4:00 AM,http://www.karaokecitynyc.com/,40.7476566,-73.9869547,"night_club,bar,point_of_interest,establishment",ChIJO_QT76hZwokRFp_9y5N6RQY,"night_club,bar,point_of_interest,establishment",(646) 791-8318,https://maps.google.com/?cid=451902112821780246,"22 West 32nd Street 7th Floor, New York"
The Spot Karaoke Lounge NYC,"34 W 32nd St, New York, NY 10001, USA",Monday: 5:00 PM – 3:00 AM;Tuesday: 5:00 PM – 3:00 AM;Wednesday: 5:00 PM – 3:00 AM;Thursday: 5:00 PM – 3:00 AM;Friday: 5:00 PM – 4:00 AM;Saturday: 5:00 PM – 4:00 AM;Sunday: 5:00 PM – 3:00 AM,http://spotkaraoke.com/,40.7477139,-73.98727219999999,"night_club,bar,point_of_interest,establishment",ChIJw8CO56hZwokRvWRVW6h17FA,"night_club,bar,point_of_interest,establishment",(212) 564-6600,https://maps.google.com/?cid=5831164983485228221,"34 West 32nd Street, New York"
32 Karaoke,"32 W 32nd St, New York, NY 10001, USA",Monday: 6:30 PM – 4:00 AM;Tuesday: 6:30 PM – 4:00 AM;Wednesday: 6:30 PM – 4:00 AM;Thursday: 6:30 PM – 4:00 AM;Friday: 6:00 PM – 4:00 AM;Saturday: 6:00 PM – 4:00 AM;Sunday: 7:00 PM – 4:00 AM,N/A,40.7476145,-73.9872499,"night_club,bar,point_of_interest,establishment",ChIJA5986KhZwokRkWOWRE-MATw,"night_club,bar,point_of_interest,establishment",(212) 290-0086,https://maps.google.com/?cid=4323891389333398417,"32 West 32nd Street, New York"
